SampleID,Assay,NPX_Run1,NPX_Run2,NPX_Run3,pg/mL_Run1,pg/mL_Run2,pg/mL_Run3
Sample_1,VSNL1,3.72322,3.1893,3.76787,39.64928,26.65009,40.96269
Sample_1,OMG,6.47841,5.82178,6.42905,118.61998,81.74776,115.38936
Sample_1,STX1B,4.52092,3.64164,3.988,131.7012,68.92474,89.71193
Sample_1,NPTXR,12.07013,11.56378,11.88203,2056.33904,1429.2176,1794.17482
Sample_1,SYT1,3.7524,3.51771,3.75919,17.84165,15.11737,17.92603
Sample_1,ENO2,9.46383,8.85929,9.47367,7987.8113,5426.27595,8038.89265
Sample_1,Inc Ctrl,-0.08257,-0.0332,-0.03784,,,
Sample_1,TREM1,14.41887,13.9455,14.38853,293.58155,207.65266,287.0865
Sample_1,S100B,0.50986,1.08341,1.3727,1.6442,4.61672,6.87666
Sample_1,DDAH1,6.78116,5.9911,6.683,610.11462,376.71713,574.90691
Sample_1,KLK8,9.60055,9.33729,9.61288,2075.82194,1740.2097,2093.19248
Sample_1,FOXO3,3.13866,2.52865,2.91535,36.19315,21.95701,30.34379
Sample_1,DDC,11.41797,10.95322,11.31394,2109.10734,1581.21779,1976.84541
Sample_1,ITGAM,10.2439,9.79327,10.18485,10239.27982,7232.56896,9773.35335
Sample_1,MMP10,11.5275,11.04012,11.48551,270.67835,195.58075,263.17373
Sample_1,SNCAIP,2.70803,1.73663,2.54234,6.3027,2.29055,5.39968
Sample_1,TREM2,15.34495,14.61526,15.59259,19978.25241,12100.01029,23764.29181
Sample_1,Det Ctrl,-0.02348,-0.03218,0.09413,,,
Sample_1,ITGB2,10.90232,10.75327,10.86666,42656.03172,38842.16299,41709.14597
Sample_1,SMOC1,4.95813,4.29735,5.04829,1071.2248,747.47198,1124.34588
Sample_1,BACE1,6.97538,6.61694,6.62887,805.61106,642.65457,647.52553
Sample_1,SCG2,6.88447,6.37758,6.817,2202.01038,1607.82562,2111.35852
Sample_1,BMP7,5.50812,5.17217,5.09329,3305.69436,2676.97061,2546.01469
Sample_1,NPTX1,8.17651,7.72529,8.27337,7802.08302,5953.99596,8271.28448
Sample_1,HLA-DRA,2.8426,,2.75752,456.58045,,425.01651
Sample_1,EIF2AK2,8.29597,7.77952,8.43531,30296.3674,22358.85946,32913.25798
Sample_1,LRRK2,0.52783,-0.90958,0.45549,519.05099,95.88031,485.7389
Sample_1,Ext Ctrl,0,0,0,,,
