SampleID,Assay,NPX,pg/mL,Group
S1,VSNL1,3.81488,42.38821,Diseased_sample
S1,OMG,6.71588,135.38052,Diseased_sample
S1,STX1B,4.13823,100.20977,Diseased_sample
S1,NPTXR,12.20331,2266.94212,Diseased_sample
S1,SYT1,4.56547,30.59466,Diseased_sample
S1,ENO2,9.77758,9804.3709,Diseased_sample
S1,Inc Ctrl,0.0685,,Diseased_sample
S1,TREM1,15.43182,629.05055,Diseased_sample
S1,S100B,2.44378,21.76555,Diseased_sample
S1,DDAH1,5.74678,323.76964,Diseased_sample
S1,KLK8,10.46234,3789.06422,Diseased_sample
S1,FOXO3,2.91842,30.41893,Diseased_sample
S1,DDC,11.97149,2986.23065,Diseased_sample
S1,ITGAM,9.84609,7526.77731,Diseased_sample
S1,MMP10,12.91266,694.47118,Diseased_sample
S1,SNCAIP,1.50012,1.6982,Diseased_sample
S1,TREM2,15.76795,26901.93249,Diseased_sample
S1,Det Ctrl,0.07411,,Diseased_sample
S1,ITGB2,11.0301,46239.54307,Diseased_sample
S1,SMOC1,7.61325,4385.14996,Diseased_sample
S1,BACE1,5.93634,415.991,Diseased_sample
S1,SCG2,8.705,7226.37475,Diseased_sample
S1,BMP7,6.92806,7823.83843,Diseased_sample
S1,NPTX1,8.65913,10455.75148,Diseased_sample
S1,HLA-DRA,3.12444,575.95218,Diseased_sample
S1,EIF2AK2,5.24078,5029.78809,Diseased_sample
S1,LRRK2,-0.02353,302.06374,Diseased_sample
S1,Ext Ctrl,0,,Diseased_sample
S1,SDC4,5.93942,2837.60943,Diseased_sample
S1,NEFL,4.54524,756.55127,Diseased_sample
S1,GDNF,3.48553,0.44592,Diseased_sample
S1,CLSTN3,5.5158,1077.85774,Diseased_sample
S1,AGER,13.82571,3360.94466,Diseased_sample
S1,TP53,3.1668,0.5763,Diseased_sample
S1,Abeta40,11.85007,455.33163,Diseased_sample
S1,pTau217,3.41099,0.44014,Diseased_sample
S1,GFAP,3.13408,6.58047,Diseased_sample
S1,GLRX,7.55931,368.27657,Diseased_sample
S1,WWOX,1.3044,1.98214,Diseased_sample
S1,RTN4R,4.95027,699.99257,Diseased_sample
S1,Abeta42,6.54428,111.24763,Diseased_sample
S1,NGF,2.12675,3.43383,Diseased_sample
S1,NLGN1,1.54206,64.8703,Diseased_sample
S1,NPTX2,11.06614,32305.64708,Diseased_sample
S1,MOG,9.68909,57.30144,Diseased_sample
S2,VSNL1,3.36843,30.50124,Healthy_pool
S2,OMG,6.53193,122.21829,Healthy_pool
S2,STX1B,5.65007,278.99708,Healthy_pool
S2,NPTXR,11.79186,1681.52998,Healthy_pool
S2,SYT1,3.84107,18.96894,Healthy_pool
S2,ENO2,9.42925,7810.89,Healthy_pool
S2,Inc Ctrl,-0.05957,,Healthy_pool
S2,TREM1,14.30312,269.60225,Healthy_pool
S2,S100B,2.11279,15.83746,Healthy_pool
