RIC_Olink_1,RIC_Olink_2,RIC_Olink_3
3.72322,3.1893,3.76787
6.47841,5.82178,6.42905
4.52092,3.64164,3.988
12.07013,11.56378,11.88203
3.7524,3.51771,3.75919
9.46383,8.85929,9.47367
-0.08257,-0.0332,-0.03784
14.41887,13.9455,14.38853
0.50986,1.08341,1.3727
6.78116,5.9911,6.683
9.60055,9.33729,9.61288
3.13866,2.52865,2.91535
11.41797,10.95322,11.31394
10.2439,9.79327,10.18485
11.5275,11.04012,11.48551
2.70803,1.73663,2.54234
15.34495,14.61526,15.59259
-0.02348,-0.03218,0.09413
10.90232,10.75327,10.86666
4.95813,4.29735,5.04829
6.97538,6.61694,6.62887
6.88447,6.37758,6.817
5.50812,5.17217,5.09329
8.17651,7.72529,8.27337
2.8426,,2.75752
8.29597,7.77952,8.43531
0.52783,-0.90958,0.45549
0,0,0
7.20507,7.14245,7.17542
3.91457,3.80352,4.00634
0.7776,,1.33764
4.08098,3.33272,3.38987
13.19025,12.88239,13.04557
2.65998,2.0988,2.64395
,1.88893,2.1743
1.87997,2.37818,2.59512
4.22162,,4.0884
8.25357,7.51994,8.34487
0.66684,0.24565,0.27387
4.74775,4.08306,4.58169
,1.95838,
0.71221,,-0.0632
1.82084,1.95029,2.31425
9.28894,8.76269,9.17962
9.06642,8.77317,9.12361
3.38761,3.12799,3.57734
6.18359,5.81531,6.1559
4.27264,3.68233,4.27114
11.79837,11.54198,11.72687
3.58735,3.48889,3.83557
9.10733,8.8682,9.31604
-0.10129,-0.07327,-0.1631
14.14035,13.92539,14.21614
1.70879,0.67009,0.65925
6.5698,5.96285,6.32762
9.30896,9.32247,9.44325
3.05643,2.84412,2.69028
11.21058,10.97387,11.15024
10.09152,9.7606,10.01169
11.30509,10.9658,11.38565
1.54736,1.77215,1.9723
15.21434,14.63688,15.47282
-0.0383,-0.03046,-0.0225
10.76185,10.75922,10.84075
4.45043,4.59672,5.01296
6.29664,6.52089,6.59202
6.70493,6.36925,6.78291
5.32254,5.01897,5.02702
7.93914,7.65885,8.17893
2.78392,,2.86639
8.24673,7.82948,8.40631
0.16738,-1.03621,-1.15515
0,0,0
7.20095,7.15081,7.20413
3.95905,3.83409,3.64947
0.68961,,1.62974
4.33155,3.11635,3.43545
12.90656,12.84001,12.96357
2.2289,1.82793,2.75682
,2.2342,2.56422
2.64044,2.20864,2.06252
4.08655,,4.22793
8.03546,7.4871,8.28842
0.0699,0.25129,0.40879
4.60819,4.01966,4.48733
,4.00302,
0.49658,,0.35153
1.56296,2.16454,2.09403
8.97707,8.6759,9.05602
8.93526,8.72246,9.04187
3.33313,3.12673,3.52991
6.01659,5.75187,6.05968
3.4061,3.62348,3.86313
11.78361,11.52896,11.70097
3.53158,3.57729,3.6741
8.98145,8.77967,9.31403
-0.21739,-0.05093,-0.14429
14.1065,13.95473,14.14484
0.71844,1.2286,1.60898
6.54146,5.92915,6.42343
9.31769,9.28851,9.46504
2.86799,2.66377,3.00712
11.24262,11.0145,11.21352
10.12905,9.81202,10.08958
11.26896,11.0918,11.40107
1.88991,2.07328,1.39808
15.20448,14.70788,15.49608
-0.09903,-0.00238,-0.06819
10.75585,10.73795,10.79653
5.03503,4.51955,5.10084
6.35453,6.66651,6.51531
6.65295,6.40495,6.74541
5.14266,5.09922,5.17478
7.85514,7.66329,8.19191
2.77084,,2.74827
8.37,7.92668,8.38294
-0.33278,0.1683,-1.0658
0,0,0
7.02082,7.03116,7.19542
3.664,3.63644,3.82995
1.10601,,1.46193
4.10236,3.68854,3.60894
12.85078,12.90858,12.9021
2.1246,2.10056,2.38753
,3.1845,2.58593
2.14229,2.07576,2.48781
4.21936,,3.70273
7.98297,7.56096,8.24304
0.52054,0.34366,0.43819
4.54112,4.21162,4.58804
,2.33843,
0.26631,,0.39653
1.07235,2.22341,1.76005
8.94463,8.75615,9.10005
8.76964,8.88769,9.04965
3.21782,3.30677,
6.00633,5.67613,
3.97154,3.42362,
11.79982,11.6024,
3.53998,3.59009,
9.02506,8.9253,
-0.15859,-0.02388,
14.11852,13.92946,
0.92535,0.59396,
6.36177,5.98982,
9.23546,9.27948,
2.83744,2.14394,
11.13633,10.89742,
10.09425,9.80513,
11.26646,11.01874,
1.76,2.03352,
15.12715,14.70583,
-0.13281,-0.03712,
10.61469,10.67991,
4.55744,4.52239,
6.25355,6.52731,
6.58132,6.42352,
5.10906,4.93584,
7.86135,7.69533,
2.61642,,
8.12762,7.83557,
-1.39176,0.85764,
0,0,
6.97925,7.10148,
3.15013,3.6508,
0.97983,,
2.88581,3.26153,
12.87949,12.95109,
2.65186,2.46582,
,2.34429,
1.44225,2.08668,
4.25433,,
7.95623,7.58724,
-0.05331,0.02926,
4.50149,4.19699,
,1.92434,
0.00961,,
1.9319,2.17246,
8.93739,8.83867,
8.74042,9.0239,
3.4283,3.17304,
6.16847,5.85063,
3.90478,3.59312,
11.91696,11.59527,
3.57232,3.59795,
9.20555,8.91696,
-0.08884,-0.09058,
14.22519,13.86783,
1.72289,0.72778,
6.69779,6.06027,
9.33648,9.27279,
2.82583,2.26993,
11.24309,10.9412,
10.11757,9.80631,
11.37915,11.02754,
1.70531,2.24242,
15.19934,14.55626,
-0.09578,-0.08609,
10.69437,10.71448,
5.06218,4.43077,
6.51544,6.47159,
6.67126,6.37978,
5.19773,5.06264,
7.91148,7.58141,
2.6955,,
8.31316,7.83905,
-1.38198,0.42566,
0,0,
7.12178,6.9736,
3.93126,3.40864,
0.928,,
3.76503,3.51191,
12.97348,12.87133,
3.33198,2.45803,
,2.35891,
1.49616,2.47435,
4.47024,,
7.97468,7.44462,
0.32301,0.20915,
4.62464,4.16028,
,0.81499,
-0.27313,,
1.59344,2.013,
8.90619,8.76181,
8.71745,8.84278,
3.44763,2.91283,3.60005
6.15169,5.63867,6.2479
4.49781,3.72378,4.16148
12.05964,11.45774,11.79014
3.65766,3.2531,3.7999
9.17172,8.60274,9.30355
-0.02723,-0.01478,-0.11258
14.29007,13.70438,14.20127
1.41765,-0.51504,0.47942
6.6411,5.90825,6.4891
9.43719,9.04203,9.48855
3.0396,2.63832,2.736
11.35869,10.74116,11.19626
10.18354,9.72305,10.09588
11.41962,10.92195,11.3361
2.01514,1.95344,2.64
15.30347,14.52233,15.45405
-0.06601,-0.08999,-0.01556
10.78424,10.5646,10.90559
4.51143,4.35582,5.00165
6.49467,6.36712,6.5792
