RIC_Olink_1,RIC_Olink_2,RIC_Olink_3,Mean value,CV%
0.00247,0.02121,0.02728,0.016986667,76.14%
0.01912,0.05275,0.01958,0.030483333,63.26%
0.04444,0.06571,0.00578,0.038643333,78.62%
0.0246,0.06962,0.02254,0.03892,68.36%
0.01825,0.06037,0.04079,0.039803333,52.95%
0.02357,0.07934,0.04629,0.049733333,56.39%
0.07887,0.0823,0.06526,0.075476667,11.94%
0.0806,0.0586,0.09323,0.077476667,22.62%
0.07917,0.07156,0.10443,0.085053333,20.23%
0.01425,0.08609,0.18789,0.096076667,90.81%
0.02966,0.12501,0.13383,0.096166667,60.07%
0.11991,0.1075,0.06119,0.0962,32.17%
0.15218,0.07833,0.0617,0.097403333,49.45%
0.12749,0.09656,0.08945,0.1045,19.35%
0.10938,0.14084,0.0681,0.106106667,34.38%
0.1396,0.07025,0.14567,0.118506667,35.36%
0.16503,0.13831,0.05438,0.11924,48.42%
0.0838,0.10443,0.1697,0.11931,37.58%
0.21933,0.0847,0.06397,0.122666667,68.77%
0.19356,0.13469,0.04151,0.123253333,62.20%
0.20821,0.14453,0.03734,0.130026667,66.41%
0.22024,0.14102,0.03444,0.1319,70.69%
0.10532,0.10417,0.18784,0.132443333,36.23%
0.17651,0.12089,0.10941,0.135603333,26.47%
0.14732,0.16686,0.09559,0.13659,26.96%
0.09979,0.18451,0.12633,0.136876667,31.66%
0.11745,0.18092,0.11382,0.137396667,27.46%
0.1971,0.09279,0.12648,0.13879,38.36%
0.14069,0.1587,0.12687,0.142086667,11.23%
0.18961,0.09147,0.16771,0.149596667,34.44%
0.15532,0.15003,0.14573,0.15036,3.19%
0.11731,0.18279,0.15335,0.15115,21.70%
0.12119,0.07453,0.27019,0.155303333,65.80%
0.14748,0.24615,0.07419,0.15594,55.34%
0.0312,0.15542,0.30088,0.1625,83.06%
0.1075,0.24688,0.13409,0.162823333,45.45%
0.14906,0.13999,0.20415,0.1644,21.12%
0.06546,0.08012,0.35075,0.165443333,97.10%
0.11583,0.18512,0.22431,0.175086667,31.37%
0.07524,0.04851,0.40343,0.175726667,112.48%
0.14131,0.07445,0.31289,0.176216667,69.80%
0.23331,0.15857,0.13824,0.176706667,28.33%
0.2245,0.17513,0.14058,0.18007,23.42%
0.10498,0.26926,0.20128,0.19184,43.03%
0.18227,0.20387,0.20509,0.197076667,6.51%
0.17534,0.1609,0.25514,0.197126667,25.75%
0.05534,0.15326,0.38605,0.198216667,85.70%
0.31274,0.21159,0.07517,0.199833333,59.66%
0.05103,0.54568,0.0113,0.20267,146.90%
0.22468,0.15897,0.23874,0.207463333,20.52%
0.22099,0.27086,0.14645,0.212766667,29.43%
0.32106,0.13924,0.18976,0.216686667,43.31%
0.10383,0.34932,0.22575,0.2263,54.24%
0.29228,0.24373,0.14427,0.22676,33.27%
0.33924,0.06045,0.28821,0.2293,64.74%
0.20955,0.28104,0.20811,0.2329,17.90%
0.23175,0.1982,0.27029,0.233413333,15.45%
0.33191,0.27667,0.10282,0.237133333,50.42%
0.22119,0.2497,0.27226,0.247716667,10.33%
0.33594,0.20601,0.20816,0.250036667,29.76%
0.18153,0.21202,0.36125,0.2516,38.23%
0.34623,0.2722,0.1369,0.251776667,42.16%
0.2366,0.23132,0.30069,0.256203333,15.07%
0.46648,0.08229,0.22488,0.257883333,75.31%
0.21417,0.16873,0.39722,0.26004,46.51%
0.35101,0.23219,0.19756,0.260253333,30.92%
0.42441,0.12447,0.23793,0.26227,57.74%
0.38838,0.20917,0.21116,0.26957,38.17%
0.4273,0.22417,0.16448,0.271983333,50.66%
0.31859,0.20423,0.29597,0.27293,22.19%
0.42631,0.21011,0.18755,0.274656667,47.99%
0.4049,0.18296,0.25665,0.281503333,40.16%
0.2914,0.2267,0.33229,0.283463333,18.78%
0.29152,0.24178,0.31764,0.283646667,13.59%
0.26059,0.17755,0.41325,0.283796667,42.13%
0.25112,0.25083,0.35103,0.284326667,20.32%
0.37417,0.24841,0.23382,0.285466667,27.03%
0.37232,0.28032,0.21405,0.288896667,27.51%
0.30762,0.3105,0.25885,0.292323333,9.93%
0.32495,0.23855,0.32032,0.294606667,16.50%
0.39345,0.31977,0.17533,0.296183333,37.46%
0.20647,0.32779,0.35763,0.297296667,26.93%
0.33974,0.21559,0.33844,0.297923333,23.93%
0.33628,0.23569,0.33586,0.30261,19.15%
0.5706,0.0989,0.24792,0.305806667,78.85%
0.34209,0.28331,0.31046,0.311953333,9.43%
0.31609,0.3322,0.29198,0.313423333,6.46%
0.37036,0.25183,0.32674,0.31631,18.95%
0.23505,0.23094,0.48364,0.316543333,45.72%
0.62488,0.15089,0.174,0.31659,84.41%
0.45891,0.23943,0.26154,0.31996,37.77%
0.39341,0.17973,0.38992,0.32102,38.12%
0.3809,0.23094,0.37575,0.329196667,25.86%
0.42751,0.23619,0.33225,0.331983333,28.81%
0.39554,0.24205,0.3689,0.335496667,24.45%
0.47146,0.21078,0.35544,0.345893333,37.76%
0.44199,0.2704,0.34689,0.353093333,24.35%
0.47126,0.18499,0.40716,0.35447,42.38%
0.34277,0.23634,0.51211,0.36374,38.23%
0.42844,0.32017,0.34285,0.36382,15.69%
0.58046,0.1266,0.40367,0.370243333,61.79%
0.52408,0.21651,0.45252,0.397703333,40.47%
0.61481,0.06951,0.54772,0.41068,72.41%
0.23166,0.77001,0.23827,0.413313333,74.74%
0.60218,0.13527,0.51438,0.417276667,59.47%
0.58572,0.3373,0.48016,0.467726667,26.66%
0.18937,0.31992,0.89964,0.469643333,80.50%
0.57664,0.86331,0.71991,0.719953333,19.91%
0.81948,0.65254,1.01757,0.829863333,22.02%
0.88193,2.10713,1.35338,1.44748,42.69%
4.8368,0.58634,0.8003,2.07448,115.43%
2.46126,1.42855,2.53115,2.14032,28.85%
1.87548,0.25681,4.29619,2.142826667,94.87%
3.05532,1.58294,2.30385,2.314036667,31.82%
1.80703,2.39021,3.00928,2.402173333,25.03%
2.32498,3.70631,1.46971,2.500333333,45.14%
1.80076,0.19961,5.56471,2.521693333,109.22%
2.74229,3.36116,1.4782,2.527216667,37.98%
2.78509,3.14875,1.67035,2.53473,30.39%
2.2899,1.9966,3.37172,2.55274,28.37%
2.46604,0.85844,4.90413,2.74287,74.27%
4.64325,2.84316,0.84158,2.775996667,68.51%
0.72959,5.63472,2.04966,2.804656667,90.50%
3.52973,2.42454,2.57284,2.84237,21.10%
3.30042,3.37118,1.9511,2.874233333,27.84%
1.94373,4.12867,2.56339,2.878596667,39.12%
1.02648,1.96212,5.86044,2.94968,86.92%
2.69919,1.03184,5.80233,3.177786667,76.18%
4.31385,1.95801,3.29383,3.188563333,37.05%
4.07435,2.89913,2.66954,3.21434,23.44%
4.65568,3.52479,1.7144,3.29829,44.98%
5.22813,2.54677,2.17876,3.317886667,50.17%
5.09191,2.84662,2.22521,3.387913333,44.51%
4.90553,2.7255,2.71859,3.449873333,36.54%
3.1025,1.34325,5.9262,3.457316667,66.87%
2.96906,2.7563,4.73591,3.48709,31.16%
1.9265,6.87938,1.70478,3.503553333,83.51%
1.89034,4.5684,4.08499,3.514576667,40.61%
2.65593,3.49188,4.42016,3.522656667,25.05%
3.86887,3.13763,3.79607,3.600856667,11.19%
4.50834,1.63462,4.75247,3.63181,47.74%
5.13134,2.43806,3.38583,3.651743333,37.41%
4.50751,2.02066,4.48765,3.67194,38.95%
6.56586,0.59734,4.37221,3.845136667,78.51%
6.41463,4.71802,0.51651,3.883053333,78.20%
3.52229,5.08,3.1243,3.908863333,26.44%
3.15517,2.94661,5.91913,4.00697,41.41%
3.17839,3.23433,6.12261,4.178443333,40.30%
3.66304,4.45683,4.75642,4.292096667,13.16%
4.82439,3.19478,4.88344,4.30087,22.28%
5.61645,3.46034,3.99841,4.3584,25.75%
11.67386,0.93695,0.50423,4.37168,144.74%
4.11394,3.41412,5.60308,4.377046667,25.54%
1.6442,4.61672,6.87666,4.379193333,59.93%
7.47968,2.6233,3.06241,4.388463333,61.21%
8.41771,2.3854,2.50598,4.436363333,77.73%
5.03456,2.16943,6.10865,4.437546667,45.89%
2.54348,8.27586,2.63982,4.486386667,73.16%
4.15772,3.45944,5.84526,4.487473333,27.33%
4.21645,5.90619,3.43184,4.51816,27.99%
8.08534,2.48467,3.00189,4.523966667,68.41%
7.95822,1.87284,3.8151,4.54872,68.33%
6.3027,2.29055,5.39968,4.66431,45.12%
7.7782,4.30951,1.93702,4.67491,62.84%
5.56978,3.366,5.2692,4.734993333,25.24%
4.71122,1.88728,7.67296,4.757153333,60.82%
4.43609,4.04325,5.88273,4.787356667,20.24%
1.80472,8.081,4.66329,4.84967,64.79%
3.97078,5.71813,5.00255,4.897153333,17.94%
10.30938,2.29933,2.25108,4.953263333,93.65%
2.51584,4.23624,8.88819,5.213423333,63.23%
8.67381,2.64297,5.07048,5.46242,55.55%
5.14232,1.06999,10.37425,5.528853333,84.36%
2.55527,10.01258,4.10613,5.557993333,70.80%
2.5218,5.67795,9.1898,5.796516667,57.54%
7.91295,2.59222,7.30139,5.93552,49.05%
7.34363,7.1828,3.42595,5.984126667,37.05%
8.31613,2.32941,7.72479,6.123443333,53.88%
9.98838,2.98975,5.43131,6.13648,57.89%
8.78277,1.9749,8.11244,6.290036667,59.65%
9.1988,2.13884,7.77222,6.369953333,58.60%
9.80576,0.13638,9.46516,6.4691,84.82%
6.67164,6.12067,7.23071,6.67434,8.32%
8.06911,7.07876,7.17615,7.44134,7.34%
7.23071,7.23071,8.32175,7.59439,8.29%
4.93462,8.56378,9.54243,7.680276667,31.61%
8.77757,7.96317,6.89582,7.878853333,11.98%
8.71436,4.20809,11.11509,8.012513333,43.76%
7.73698,8.06911,8.37778,8.06129,3.98%
17.08947,1.12796,7.3661,8.527843333,94.33%
9.69227,8.48731,8.06911,8.749563333,9.63%
14.9928,3.24995,9.51275,9.251833333,63.51%
14.69109,9.19871,4.93388,9.607893333,50.91%
2.99659,27.93065,3.02538,11.31754,127.12%
17.14072,8.56396,8.93446,11.54638,41.99%
5.79411,22.99473,7.05963,11.94949,80.22%
16.62468,14.26044,6.91505,12.60005667,40.18%
12.60931,13.619,12.33041,12.85290667,5.27%
14.51807,13.73697,11.32373,13.19292333,12.62%
18.38219,13.50375,8.22727,13.37107,37.98%
14.23512,15.22195,10.6776,13.37822333,17.87%
18.13758,13.0984,9.79132,13.67576667,30.73%
14.01995,14.12409,13.45018,13.86474,2.62%
17.16233,12.47573,12.0112,13.88308667,20.52%
17.74574,12.60491,12.72989,14.36018,20.42%
17.82059,12.92099,12.84868,14.53008667,19.61%
13.75246,16.18623,13.9435,14.62739667,9.25%
24.72416,17.9205,1.53556,14.72674,80.94%
15.0355,14.79547,14.46249,14.76448667,1.95%
15.34526,13.31027,15.94322,14.86625,9.28%
16.6058,12.9769,15.06284,14.88184667,12.24%
13.99773,13.90512,17.12059,15.00781333,12.20%
5.5493,25.82179,13.65542,15.00883667,67.99%
16.20886,15.53919,13.57428,15.10744333,9.06%
17.04329,15.29165,13.05982,15.13158667,13.19%
16.81039,14.84204,14.06356,15.23866333,9.29%
14.86811,14.94042,16.45223,15.42025333,5.80%
15.95226,14.10774,17.04728,15.70242667,9.46%
16.27127,13.04693,17.84849,15.72223,15.57%
15.65458,14.07727,17.4783,15.73671667,10.82%
16.698,12.45454,18.43854,15.86369333,19.40%
16.46847,12.36332,18.98771,15.93983333,20.98%
15.26844,15.7749,16.89204,15.97846,5.20%
18.02183,12.34811,17.85796,16.07596667,20.09%
17.34054,14.76809,16.25744,16.12202333,8.01%
19.84067,14.76251,14.33293,16.31203667,18.78%
17.2618,14.70966,17.32454,16.432,9.08%
17.69545,13.77498,18.02879,16.49974,14.34%
15.88813,14.80727,18.89734,16.53091333,12.82%
11.69562,19.13665,19.30623,16.71283333,26.00%
18.39086,13.26734,18.50061,16.71960333,17.88%
17.84165,15.11737,17.92603,16.96168333,9.42%
7.03806,33.24244,13.41436,17.89828667,76.35%
18.92879,18.05277,17.71019,18.23058333,3.45%
21.59789,16.22009,17.22774,18.34857333,15.58%
18.59759,18.98379,17.48559,18.35565667,4.24%
18.76418,15.74392,20.60565,18.37125,13.36%
17.26294,19.46798,19.25581,18.66224333,6.52%
20.42482,15.58697,20.63661,18.8828,15.13%
20.68955,18.28627,19.44335,19.47305667,6.17%
20.17883,20.68955,20.73928,20.53588667,1.51%
23.88282,21.64465,20.68955,22.07234,7.43%
23.99428,18.04744,24.68814,22.24328667,16.41%
36.93059,16.39287,16.16842,23.16396,51.47%
31.45963,18.06911,20.38427,23.30433667,30.71%
32.9871,23.04169,15.33162,23.78680333,37.21%
27.00491,27.17142,19.53779,24.57137333,17.74%
35.83484,24.70799,13.64818,24.73033667,44.86%
27.53346,17.3649,29.81606,24.90480667,26.62%
38.68065,18.49016,18.08006,25.08362333,46.95%
35.41678,22.31273,18.0592,25.26290333,35.81%
32.42344,27.177,17.24441,25.61495,30.10%
36.07673,13.66955,27.4544,25.73356,43.92%
27.71092,20.95416,29.30149,25.98885667,17.05%
30.61105,13.24533,34.22707,26.02781667,43.09%
26.53875,18.81128,33.05511,26.13504667,27.28%
32.42526,23.39376,23.33129,26.38343667,19.83%
25.29188,31.56108,22.35122,26.40139333,17.82%
33.81994,21.28745,24.14146,26.41628333,24.87%
38.36166,30.59304,12.50619,27.15363,48.86%
33.4658,23.39546,24.90628,27.25584667,19.93%
30.37065,27.95593,23.70386,27.34348,12.34%
26.93388,22.89196,32.29327,27.37303667,17.23%
33.31158,21.81803,27.19223,27.44061333,20.96%
33.12012,20.26147,29.28308,27.55489,23.96%
33.01229,19.0563,30.89793,27.65550667,27.20%
28.26861,28.84835,26.2965,27.80448667,4.81%
21.46938,24.89298,37.09461,27.81899,29.52%
27.34591,24.82297,31.39141,27.85343,11.90%
36.58439,22.54757,24.61285,27.91493667,27.15%
33.49899,24.13056,26.19873,27.94276,17.61%
32.90972,24.53672,26.42509,27.95717667,15.71%
35.22268,16.93177,31.74428,27.96624333,34.73%
30.87425,25.76768,27.48273,28.04155333,9.27%
37.65361,24.6584,22.42738,28.24646333,29.11%
25.8848,28.81636,30.08676,28.26264,7.62%
39.09983,30.36147,16.48956,28.65028667,39.80%
30.98912,20.80617,34.15908,28.65145667,24.35%
30.92675,24.88075,30.23054,28.67934667,11.53%
33.28277,19.12623,33.69792,28.70230667,28.90%
